"","ccode1","ccode2","year","DR_at_1","DR_at_2","period","dipSym","dipSymNext","time.curr","region1","region2","sameregion","region"
"3",2,20,1930,0,2,"1","x","sym",0,1,1,"yes",1
"4",2,20,1935,2,2,"1","sym","sym",0,1,1,"yes",1
"5",2,20,1940,2,2,"1","sym","sym",5,1,1,"yes",1
"6",2,20,1950,9,9,"2","sym","sym",15,1,1,"yes",1
"7",2,20,1955,9,9,"2","sym","sym",20,1,1,"yes",1
"8",2,20,1960,9,9,"2","sym","sym",25,1,1,"yes",1
"9",2,20,1965,9,9,"2","sym","sym",30,1,1,"yes",1
"10",2,20,1970,3,3,"3","sym","sym",35,1,1,"yes",1
"11",2,20,1975,3,3,"3","sym","sym",40,1,1,"yes",1
"12",2,20,1980,3,3,"3","sym","sym",45,1,1,"yes",1
"13",2,20,1985,3,3,"3","sym","sym",50,1,1,"yes",1
"14",2,20,1990,3,3,"3","sym","sym",55,1,1,"yes",1
"15",2,20,1995,3,3,"4","sym","sym",60,1,1,"yes",1
"16",2,20,2000,3,3,"4","sym","sym",65,1,1,"yes",1
"18",2,31,1975,3,3,"3","sym","sym",0,1,1,"yes",1
"19",2,31,1980,3,3,"3","sym","asym",5,1,1,"yes",1
"20",2,31,1985,1,3,"3","asym","sym",0,1,1,"yes",1
"21",2,31,1990,3,3,"3","sym","sym",0,1,1,"yes",1
"22",2,31,1995,3,3,"4","sym","asym",5,1,1,"yes",1
"23",2,31,2000,1,3,"4","asym","sym",0,1,1,"yes",1
"25",2,40,1904,9,9,"1","sym","sym",0,1,1,"yes",1
"26",2,40,1909,9,9,"1","sym","sym",5,1,1,"yes",1
"27",2,40,1914,9,9,"1","sym","sym",10,1,1,"yes",1
"28",2,40,1920,9,9,"1","sym","sym",16,1,1,"yes",1
"29",2,40,1925,9,9,"1","sym","sym",21,1,1,"yes",1
"30",2,40,1930,9,9,"1","sym","sym",26,1,1,"yes",1
"31",2,40,1935,3,3,"1","sym","sym",31,1,1,"yes",1
"32",2,40,1940,3,3,"1","sym","sym",36,1,1,"yes",1
"33",2,40,1950,9,9,"2","sym","sym",46,1,1,"yes",1
"34",2,40,1955,9,9,"2","sym","sym",51,1,1,"yes",1
"35",2,40,1960,9,9,"2","sym","sym",56,1,1,"yes",1
"39",2,40,1980,9,9,"3","sym","sym",76,1,1,"yes",1
"40",2,40,1985,9,9,"3","sym","sym",81,1,1,"yes",1
"41",2,40,1990,9,9,"3","sym","sym",86,1,1,"yes",1
"42",2,40,1995,9,9,"4","sym","sym",91,1,1,"yes",1
"43",2,40,2000,9,9,"4","sym","sym",96,1,1,"yes",1
"46",2,41,1864,1,1,"1","sym","asym",0,1,1,"yes",1
"47",2,41,1869,1,2,"1","asym","asym",0,1,1,"yes",1
"48",2,41,1874,1,2,"1","asym","sym",5,1,1,"yes",1
"49",2,41,1879,2,2,"1","sym","x",0,1,1,"yes",1
"50",2,41,1884,0,2,"1","x","sym",0,1,1,"yes",1
"51",2,41,1889,2,2,"1","sym","sym",0,1,1,"yes",1
"52",2,41,1894,2,2,"1","sym","sym",5,1,1,"yes",1
"53",2,41,1899,2,2,"1","sym","sym",10,1,1,"yes",1
"54",2,41,1904,2,2,"1","sym","sym",15,1,1,"yes",1
"55",2,41,1909,2,2,"1","sym","sym",20,1,1,"yes",1
"56",2,41,1914,2,2,"1","sym","sym",25,1,1,"yes",1
"57",2,41,1935,2,2,"1","sym","sym",46,1,1,"yes",1
"58",2,41,1940,2,2,"1","sym","sym",51,1,1,"yes",1
"59",2,41,1950,9,9,"2","sym","sym",61,1,1,"yes",1
"60",2,41,1955,9,9,"2","sym","sym",66,1,1,"yes",1
"61",2,41,1960,9,9,"2","sym","sym",71,1,1,"yes",1
"62",2,41,1965,9,9,"2","sym","x",76,1,1,"yes",1
"63",2,41,1970,3,0,"3","x","sym",0,1,1,"yes",1
"64",2,41,1975,3,3,"3","sym","sym",0,1,1,"yes",1
"65",2,41,1980,3,3,"3","sym","sym",5,1,1,"yes",1
"66",2,41,1985,3,3,"3","sym","asym",10,1,1,"yes",1
"67",2,41,1990,1,3,"3","asym","sym",0,1,1,"yes",1
"68",2,41,1995,3,3,"4","sym","asym",0,1,1,"yes",1
"69",2,41,2000,1,3,"4","asym","sym",0,1,1,"yes",1
"71",2,42,1894,0,1,"1","x","x",0,1,1,"yes",1
"72",2,42,1899,0,1,"1","x","sym",5,1,1,"yes",1
"73",2,42,1904,1,1,"1","sym","sym",0,1,1,"yes",1
"74",2,42,1909,2,2,"1","sym","sym",5,1,1,"yes",1
"75",2,42,1914,2,2,"1","sym","sym",10,1,1,"yes",1
"76",2,42,1925,2,2,"1","sym","sym",21,1,1,"yes",1
"77",2,42,1930,2,2,"1","sym","sym",26,1,1,"yes",1
"78",2,42,1935,2,2,"1","sym","sym",31,1,1,"yes",1
"79",2,42,1940,2,2,"1","sym","sym",36,1,1,"yes",1
"80",2,42,1950,9,9,"2","sym","sym",46,1,1,"yes",1
"81",2,42,1955,9,9,"2","sym","sym",51,1,1,"yes",1
"82",2,42,1960,9,9,"2","sym","sym",56,1,1,"yes",1
"83",2,42,1965,9,9,"2","sym","sym",61,1,1,"yes",1
"84",2,42,1970,3,3,"3","sym","sym",66,1,1,"yes",1
"85",2,42,1975,3,3,"3","sym","sym",71,1,1,"yes",1
"86",2,42,1980,3,3,"3","sym","x",76,1,1,"yes",1
"87",2,42,1985,3,0,"3","x","sym",0,1,1,"yes",1
"88",2,42,1990,3,3,"3","sym","sym",0,1,1,"yes",1
"89",2,42,1995,3,3,"4","sym","sym",5,1,1,"yes",1
"90",2,42,2000,3,3,"4","sym","sym",10,1,1,"yes",1
"92",2,51,1965,9,9,"2","sym","sym",0,1,1,"yes",1
"93",2,51,1970,3,3,"3","sym","sym",5,1,1,"yes",1
"94",2,51,1975,3,3,"3","sym","asym",10,1,1,"yes",1
"95",2,51,1980,1,3,"3","asym","sym",0,1,1,"yes",1
"96",2,51,1985,3,3,"3","sym","sym",0,1,1,"yes",1
"97",2,51,1990,3,3,"3","sym","sym",5,1,1,"yes",1
"98",2,51,1995,3,3,"4","sym","sym",10,1,1,"yes",1
"99",2,51,2000,3,3,"4","sym","sym",15,1,1,"yes",1
"101",2,52,1965,9,9,"2","sym","sym",0,1,1,"yes",1
"102",2,52,1970,3,3,"3","sym","asym",5,1,1,"yes",1
"103",2,52,1975,3,1,"3","asym","sym",0,1,1,"yes",1
"104",2,52,1980,3,3,"3","sym","sym",0,1,1,"yes",1
"105",2,52,1985,3,3,"3","sym","sym",5,1,1,"yes",1
"106",2,52,1990,3,3,"3","sym","sym",10,1,1,"yes",1
"107",2,52,1995,3,3,"4","sym","sym",15,1,1,"yes",1
"108",2,52,2000,3,3,"4","sym","sym",20,1,1,"yes",1
"110",2,53,1970,3,3,"3","sym","sym",0,1,1,"yes",1
"111",2,53,1975,3,3,"3","sym","sym",5,1,1,"yes",1
"112",2,53,1980,3,3,"3","sym","sym",10,1,1,"yes",1
"113",2,53,1985,3,3,"3","sym","sym",15,1,1,"yes",1
"114",2,53,1990,3,3,"3","sym","sym",20,1,1,"yes",1
"115",2,53,1995,3,3,"4","sym","sym",25,1,1,"yes",1
"116",2,53,2000,3,3,"4","sym","sym",30,1,1,"yes",1
"118",2,54,1980,0,3,"3","x","x",0,1,1,"yes",1
"119",2,54,1985,9,0,"3","x","x",5,1,1,"yes",1
"122",2,54,2000,3,0,"4","x","x",20,1,1,"yes",1
"124",2,55,1975,3,0,"3","x","sym",0,1,1,"yes",1
"125",2,55,1980,3,3,"3","sym","asym",0,1,1,"yes",1
"126",2,55,1985,3,1,"3","asym","sym",0,1,1,"yes",1
"127",2,55,1990,3,3,"3","sym","x",0,1,1,"yes",1
"128",2,55,1995,3,0,"4","x","sym",0,1,1,"yes",1
"129",2,55,2000,3,3,"4","sym","sym",0,1,1,"yes",1
"131",2,56,1980,3,3,"3","sym","x",0,1,1,"yes",1
"132",2,56,1985,3,0,"3","x","x",0,1,1,"yes",1
"133",2,56,1990,3,0,"3","x","x",5,1,1,"yes",1
"134",2,56,1995,3,0,"4","x","x",10,1,1,"yes",1
"135",2,56,2000,3,0,"4","x","x",15,1,1,"yes",1
"140",2,57,1995,3,0,"4","x","x",0,1,1,"yes",1
"141",2,57,2000,3,0,"4","x","x",5,1,1,"yes",1
"143",2,58,1985,3,9,"3","asym","asym",0,1,1,"yes",1
"144",2,58,1990,3,1,"3","asym","x",5,1,1,"yes",1
"145",2,58,1995,3,0,"4","x","x",0,1,1,"yes",1
"146",2,58,2000,3,0,"4","x","x",5,1,1,"yes",1
"148",2,60,1985,3,0,"3","x","x",0,1,1,"yes",1
"149",2,60,1990,1,0,"3","x","x",5,1,1,"yes",1
"150",2,60,1995,3,0,"4","x","x",10,1,1,"yes",1
"151",2,60,2000,3,0,"4","x","x",15,1,1,"yes",1
"153",2,70,1832,9,9,"1","sym","x",0,1,1,"yes",1
"154",2,70,1836,1,0,"1","x","sym",0,1,1,"yes",1
"155",2,70,1840,2,2,"1","sym","sym",0,1,1,"yes",1
"156",2,70,1844,2,2,"1","sym","asym",4,1,1,"yes",1
"157",2,70,1849,2,1,"1","asym","sym",0,1,1,"yes",1
"158",2,70,1854,2,2,"1","sym","sym",0,1,1,"yes",1
"159",2,70,1859,2,2,"1","sym","asym",5,1,1,"yes",1
"160",2,70,1864,1,2,"1","asym","sym",0,1,1,"yes",1
"161",2,70,1869,2,2,"1","sym","sym",0,1,1,"yes",1
"162",2,70,1874,2,2,"1","sym","sym",5,1,1,"yes",1
"163",2,70,1879,2,2,"1","sym","sym",10,1,1,"yes",1
"164",2,70,1884,2,2,"1","sym","sym",15,1,1,"yes",1
"165",2,70,1889,2,2,"1","sym","x",20,1,1,"yes",1
"166",2,70,1894,2,0,"1","x","sym",0,1,1,"yes",1
"167",2,70,1899,2,2,"1","sym","sym",0,1,1,"yes",1
"168",2,70,1904,3,3,"1","sym","asym",5,1,1,"yes",1
"169",2,70,1909,3,2,"1","asym","sym",0,1,1,"yes",1
"170",2,70,1914,3,3,"1","sym","sym",0,1,1,"yes",1
"171",2,70,1920,3,3,"1","sym","sym",6,1,1,"yes",1
"172",2,70,1925,3,3,"1","sym","asym",11,1,1,"yes",1
"173",2,70,1930,2,3,"1","asym","sym",0,1,1,"yes",1
"174",2,70,1935,3,3,"1","sym","sym",0,1,1,"yes",1
"175",2,70,1940,3,3,"1","sym","sym",5,1,1,"yes",1
"176",2,70,1950,9,9,"2","sym","sym",15,1,1,"yes",1
"177",2,70,1955,9,9,"2","sym","sym",20,1,1,"yes",1
"178",2,70,1960,9,9,"2","sym","sym",25,1,1,"yes",1
"179",2,70,1965,9,9,"2","sym","sym",30,1,1,"yes",1
"180",2,70,1970,3,3,"3","sym","sym",35,1,1,"yes",1
"181",2,70,1975,3,3,"3","sym","sym",40,1,1,"yes",1
"182",2,70,1980,3,3,"3","sym","sym",45,1,1,"yes",1
"183",2,70,1985,3,3,"3","sym","sym",50,1,1,"yes",1
"184",2,70,1990,3,3,"3","sym","sym",55,1,1,"yes",1
"185",2,70,1995,3,3,"4","sym","sym",60,1,1,"yes",1
"186",2,70,2000,3,3,"4","sym","sym",65,1,1,"yes",1
"188",2,80,1985,3,1,"3","asym","sym",0,1,1,"yes",1
"189",2,80,1990,3,3,"3","sym","sym",0,1,1,"yes",1
"190",2,80,1995,3,3,"4","sym","sym",5,1,1,"yes",1
"191",2,80,2000,3,3,"4","sym","sym",10,1,1,"yes",1
"193",2,90,1869,2,2,"1","sym","sym",0,1,1,"yes",1
"194",2,90,1874,2,2,"1","sym","sym",5,1,1,"yes",1
"195",2,90,1879,2,2,"1","sym","sym",10,1,1,"yes",1
"196",2,90,1884,2,2,"1","sym","sym",15,1,1,"yes",1
"197",2,90,1889,2,2,"1","sym","sym",20,1,1,"yes",1
"198",2,90,1894,2,2,"1","sym","sym",25,1,1,"yes",1
"199",2,90,1899,2,2,"1","sym","sym",30,1,1,"yes",1
"200",2,90,1904,2,2,"1","sym","sym",35,1,1,"yes",1
"201",2,90,1909,2,2,"1","sym","sym",40,1,1,"yes",1
"202",2,90,1914,2,2,"1","sym","sym",45,1,1,"yes",1
"203",2,90,1920,2,2,"1","sym","sym",51,1,1,"yes",1
"204",2,90,1925,2,2,"1","sym","sym",56,1,1,"yes",1
"205",2,90,1930,2,2,"1","sym","sym",61,1,1,"yes",1
"206",2,90,1935,2,2,"1","sym","sym",66,1,1,"yes",1
"207",2,90,1940,2,2,"1","sym","sym",71,1,1,"yes",1
"208",2,90,1950,9,9,"2","sym","sym",81,1,1,"yes",1
"209",2,90,1955,9,9,"2","sym","sym",86,1,1,"yes",1
"210",2,90,1960,9,9,"2","sym","sym",91,1,1,"yes",1
"211",2,90,1965,9,9,"2","sym","sym",96,1,1,"yes",1
"212",2,90,1970,3,3,"3","sym","sym",101,1,1,"yes",1
"213",2,90,1975,3,3,"3","sym","sym",106,1,1,"yes",1
"214",2,90,1980,3,3,"3","sym","sym",111,1,1,"yes",1
"215",2,90,1985,3,3,"3","sym","sym",116,1,1,"yes",1
"216",2,90,1990,3,3,"3","sym","sym",121,1,1,"yes",1
"217",2,90,1995,3,3,"4","sym","sym",126,1,1,"yes",1
"218",2,90,2000,3,3,"4","sym","sym",131,1,1,"yes",1
"220",2,91,1899,0,2,"1","x","x",0,1,1,"yes",1
"221",2,91,1904,0,2,"1","x","sym",5,1,1,"yes",1
"222",2,91,1909,2,2,"1","sym","sym",0,1,1,"yes",1
"223",2,91,1914,2,2,"1","sym","sym",5,1,1,"yes",1
"224",2,91,1920,2,2,"1","sym","sym",11,1,1,"yes",1
"225",2,91,1925,2,2,"1","sym","sym",16,1,1,"yes",1
"226",2,91,1930,2,2,"1","sym","sym",21,1,1,"yes",1
"227",2,91,1935,2,2,"1","sym","sym",26,1,1,"yes",1
"228",2,91,1940,2,2,"1","sym","sym",31,1,1,"yes",1
"229",2,91,1950,9,9,"2","sym","sym",41,1,1,"yes",1
"230",2,91,1955,9,9,"2","sym","sym",46,1,1,"yes",1
"231",2,91,1960,9,9,"2","sym","sym",51,1,1,"yes",1
"232",2,91,1965,9,9,"2","sym","asym",56,1,1,"yes",1
"233",2,91,1970,1,3,"3","asym","sym",0,1,1,"yes",1
"234",2,91,1975,3,3,"3","sym","sym",0,1,1,"yes",1
"235",2,91,1980,3,3,"3","sym","sym",5,1,1,"yes",1
"236",2,91,1985,3,3,"3","sym","sym",10,1,1,"yes",1
"237",2,91,1990,3,3,"3","sym","sym",15,1,1,"yes",1
"238",2,91,1995,3,3,"4","sym","sym",20,1,1,"yes",1
"239",2,91,2000,3,3,"4","sym","sym",25,1,1,"yes",1
"241",2,92,1879,2,2,"1","sym","x",0,1,1,"yes",1
"243",2,92,1889,2,0,"1","x","sym",0,1,1,"yes",1
"244",2,92,1894,2,2,"1","sym","x",0,1,1,"yes",1
"245",2,92,1899,0,2,"1","x","sym",0,1,1,"yes",1
"246",2,92,1904,2,2,"1","sym","sym",0,1,1,"yes",1
"247",2,92,1909,2,2,"1","sym","sym",5,1,1,"yes",1
"248",2,92,1914,2,2,"1","sym","sym",10,1,1,"yes",1
"249",2,92,1920,2,2,"1","sym","sym",16,1,1,"yes",1
"250",2,92,1925,2,2,"1","sym","sym",21,1,1,"yes",1
"251",2,92,1930,2,2,"1","sym","asym",26,1,1,"yes",1
"252",2,92,1935,1,2,"1","asym","sym",0,1,1,"yes",1
"253",2,92,1940,2,2,"1","sym","sym",0,1,1,"yes",1
"254",2,92,1950,9,9,"2","sym","sym",10,1,1,"yes",1
"255",2,92,1955,9,9,"2","sym","sym",15,1,1,"yes",1
"256",2,92,1960,9,9,"2","sym","sym",20,1,1,"yes",1
"257",2,92,1965,9,9,"2","sym","sym",25,1,1,"yes",1
"258",2,92,1970,3,3,"3","sym","sym",30,1,1,"yes",1
"259",2,92,1975,3,3,"3","sym","sym",35,1,1,"yes",1
"260",2,92,1980,3,3,"3","sym","sym",40,1,1,"yes",1
"261",2,92,1985,3,3,"3","sym","sym",45,1,1,"yes",1
"262",2,92,1990,3,3,"3","sym","sym",50,1,1,"yes",1
"263",2,92,1995,3,3,"4","sym","sym",55,1,1,"yes",1
"264",2,92,2000,3,3,"4","sym","sym",60,1,1,"yes",1
"266",2,93,1904,2,2,"1","sym","sym",0,1,1,"yes",1
"267",2,93,1909,2,2,"1","sym","sym",5,1,1,"yes",1
"268",2,93,1914,2,2,"1","sym","x",10,1,1,"yes",1
"269",2,93,1920,2,0,"1","x","sym",0,1,1,"yes",1
"270",2,93,1925,2,2,"1","sym","sym",0,1,1,"yes",1
"271",2,93,1930,2,2,"1","sym","asym",5,1,1,"yes",1
"272",2,93,1935,1,2,"1","asym","sym",0,1,1,"yes",1
"273",2,93,1940,2,2,"1","sym","sym",0,1,1,"yes",1
"274",2,93,1950,9,9,"2","sym","sym",10,1,1,"yes",1
"275",2,93,1955,9,9,"2","sym","sym",15,1,1,"yes",1
"276",2,93,1960,9,9,"2","sym","sym",20,1,1,"yes",1
"277",2,93,1965,9,9,"2","sym","x",25,1,1,"yes",1
"278",2,93,1970,0,3,"3","x","sym",0,1,1,"yes",1
"279",2,93,1975,3,3,"3","sym","sym",0,1,1,"yes",1
"280",2,93,1980,3,3,"3","sym","sym",5,1,1,"yes",1
"281",2,93,1985,3,3,"3","sym","sym",10,1,1,"yes",1
"282",2,93,1990,3,3,"3","sym","sym",15,1,1,"yes",1
"283",2,93,1995,3,3,"4","sym","sym",20,1,1,"yes",1
"284",2,93,2000,3,3,"4","sym","asym",25,1,1,"yes",1
"286",2,94,1920,2,2,"1","sym","sym",0,1,1,"yes",1
"287",2,94,1925,2,2,"1","sym","sym",5,1,1,"yes",1
"288",2,94,1930,2,2,"1","sym","sym",10,1,1,"yes",1
"289",2,94,1935,2,2,"1","sym","sym",15,1,1,"yes",1
"290",2,94,1940,2,2,"1","sym","sym",20,1,1,"yes",1
"291",2,94,1950,9,9,"2","sym","sym",30,1,1,"yes",1
"292",2,94,1955,9,9,"2","sym","sym",35,1,1,"yes",1
"293",2,94,1960,9,9,"2","sym","sym",40,1,1,"yes",1
"294",2,94,1965,9,9,"2","sym","sym",45,1,1,"yes",1
"295",2,94,1970,3,3,"3","sym","sym",50,1,1,"yes",1
"296",2,94,1975,3,3,"3","sym","sym",55,1,1,"yes",1
"297",2,94,1980,3,3,"3","sym","sym",60,1,1,"yes",1
"298",2,94,1985,3,3,"3","sym","sym",65,1,1,"yes",1
"299",2,94,1990,3,3,"3","sym","sym",70,1,1,"yes",1
"300",2,94,1995,3,3,"4","sym","sym",75,1,1,"yes",1
"301",2,94,2000,3,3,"4","sym","asym",80,1,1,"yes",1
"303",2,95,1920,1,2,"1","asym","sym",0,1,1,"yes",1
"304",2,95,1925,2,2,"1","sym","sym",0,1,1,"yes",1
"305",2,95,1930,2,2,"1","sym","x",5,1,1,"yes",1
"306",2,95,1935,0,2,"1","x","sym",0,1,1,"yes",1
"307",2,95,1940,3,3,"1","sym","sym",0,1,1,"yes",1
"308",2,95,1950,9,9,"2","sym","sym",10,1,1,"yes",1
"309",2,95,1955,9,9,"2","sym","sym",15,1,1,"yes",1
"310",2,95,1960,9,9,"2","sym","sym",20,1,1,"yes",1
"311",2,95,1965,9,9,"2","sym","sym",25,1,1,"yes",1
"312",2,95,1970,3,3,"3","sym","sym",30,1,1,"yes",1
"313",2,95,1975,3,3,"3","sym","sym",35,1,1,"yes",1
"314",2,95,1980,3,3,"3","sym","sym",40,1,1,"yes",1
"315",2,95,1985,3,3,"3","sym","sym",45,1,1,"yes",1
"316",2,95,1990,3,3,"3","sym","sym",50,1,1,"yes",1
"317",2,95,1995,3,3,"4","sym","sym",55,1,1,"yes",1
"318",2,95,2000,3,3,"4","sym","sym",60,1,1,"yes",1
"320",2,100,1832,9,0,"1","x","x",0,1,1,"yes",1
"321",2,100,1836,1,0,"1","x","sym",4,1,1,"yes",1
"322",2,100,1840,1,1,"1","sym","sym",0,1,1,"yes",1
"323",2,100,1844,1,1,"1","sym","sym",4,1,1,"yes",1
"324",2,100,1849,1,1,"1","sym","asym",9,1,1,"yes",1
"325",2,100,1854,2,1,"1","asym","x",0,1,1,"yes",1
"326",2,100,1859,2,0,"1","x","sym",0,1,1,"yes",1
"327",2,100,1864,2,2,"1","sym","sym",0,1,1,"yes",1
"328",2,100,1869,2,2,"1","sym","sym",5,1,1,"yes",1
"329",2,100,1874,2,2,"1","sym","x",10,1,1,"yes",1
"330",2,100,1879,0,2,"1","x","x",0,1,1,"yes",1
"331",2,100,1884,0,2,"1","x","x",5,1,1,"yes",1
"332",2,100,1889,0,2,"1","x","sym",10,1,1,"yes",1
"333",2,100,1894,2,2,"1","sym","sym",0,1,1,"yes",1
"334",2,100,1899,2,2,"1","sym","sym",5,1,1,"yes",1
"335",2,100,1904,2,2,"1","sym","sym",10,1,1,"yes",1
"336",2,100,1909,2,2,"1","sym","sym",15,1,1,"yes",1
"337",2,100,1914,2,2,"1","sym","sym",20,1,1,"yes",1
"338",2,100,1920,2,2,"1","sym","sym",26,1,1,"yes",1
"339",2,100,1925,2,2,"1","sym","sym",31,1,1,"yes",1
"340",2,100,1930,2,2,"1","sym","sym",36,1,1,"yes",1
"341",2,100,1935,2,2,"1","sym","sym",41,1,1,"yes",1
"342",2,100,1940,3,3,"1","sym","sym",46,1,1,"yes",1
"343",2,100,1950,9,9,"2","sym","sym",56,1,1,"yes",1
"344",2,100,1955,9,9,"2","sym","sym",61,1,1,"yes",1
"345",2,100,1960,9,9,"2","sym","sym",66,1,1,"yes",1
"346",2,100,1965,9,9,"2","sym","asym",71,1,1,"yes",1
"347",2,100,1970,1,3,"3","asym","asym",0,1,1,"yes",1
"348",2,100,1975,1,3,"3","asym","sym",5,1,1,"yes",1
"349",2,100,1980,3,3,"3","sym","sym",0,1,1,"yes",1
"350",2,100,1985,3,3,"3","sym","sym",5,1,1,"yes",1
"351",2,100,1990,3,3,"3","sym","sym",10,1,1,"yes",1
"352",2,100,1995,3,3,"4","sym","sym",15,1,1,"yes",1
"353",2,100,2000,3,3,"4","sym","sym",20,1,1,"yes",1
"355",2,101,1844,0,1,"1","x","asym",0,1,1,"yes",1
"356",2,101,1849,2,1,"1","asym","asym",0,1,1,"yes",1
"357",2,101,1854,2,1,"1","asym","asym",5,1,1,"yes",1
"358",2,101,1859,1,2,"1","asym","x",10,1,1,"yes",1
"359",2,101,1864,0,2,"1","x","sym",0,1,1,"yes",1
"360",2,101,1869,2,2,"1","sym","x",0,1,1,"yes",1
"361",2,101,1874,0,2,"1","x","sym",0,1,1,"yes",1
"362",2,101,1879,2,2,"1","sym","sym",0,1,1,"yes",1
"363",2,101,1884,2,2,"1","sym","asym",5,1,1,"yes",1
"364",2,101,1889,1,2,"1","asym","sym",0,1,1,"yes",1
"365",2,101,1894,2,2,"1","sym","sym",0,1,1,"yes",1
"366",2,101,1899,2,2,"1","sym","x",5,1,1,"yes",1
"367",2,101,1904,2,0,"1","x","asym",0,1,1,"yes",1
"368",2,101,1909,1,2,"1","asym","sym",0,1,1,"yes",1
"369",2,101,1914,2,2,"1","sym","sym",0,1,1,"yes",1
"370",2,101,1920,2,2,"1","sym","sym",6,1,1,"yes",1
"371",2,101,1925,2,2,"1","sym","sym",11,1,1,"yes",1
"372",2,101,1930,2,2,"1","sym","sym",16,1,1,"yes",1
"373",2,101,1935,2,2,"1","sym","sym",21,1,1,"yes",1
"374",2,101,1940,3,3,"1","sym","sym",26,1,1,"yes",1
"375",2,101,1950,9,9,"2","sym","sym",36,1,1,"yes",1
"376",2,101,1955,9,9,"2","sym","sym",41,1,1,"yes",1
"377",2,101,1960,9,9,"2","sym","sym",46,1,1,"yes",1
"378",2,101,1965,9,9,"2","sym","sym",51,1,1,"yes",1
"379",2,101,1970,3,3,"3","sym","sym",56,1,1,"yes",1
"380",2,101,1975,3,3,"3","sym","sym",61,1,1,"yes",1
"381",2,101,1980,3,3,"3","sym","sym",66,1,1,"yes",1
"382",2,101,1985,3,3,"3","sym","sym",71,1,1,"yes",1
"383",2,101,1990,3,3,"3","sym","sym",76,1,1,"yes",1
"384",2,101,1995,3,3,"4","sym","sym",81,1,1,"yes",1
"385",2,101,2000,3,3,"4","sym","sym",86,1,1,"yes",1
"387",2,110,1970,3,3,"3","sym","sym",0,1,1,"yes",1
"388",2,110,1975,3,3,"3","sym","sym",5,1,1,"yes",1
"389",2,110,1980,3,3,"3","sym","sym",10,1,1,"yes",1
"390",2,110,1985,3,3,"3","sym","sym",15,1,1,"yes",1
"391",2,110,1990,3,3,"3","sym","sym",20,1,1,"yes",1
"392",2,110,1995,3,3,"4","sym","sym",25,1,1,"yes",1
"393",2,110,2000,3,3,"4","sym","sym",30,1,1,"yes",1
"396",2,115,1980,1,3,"3","asym","sym",0,1,1,"yes",1
"397",2,115,1985,3,3,"3","sym","sym",0,1,1,"yes",1
"398",2,115,1990,3,3,"3","sym","sym",5,1,1,"yes",1
"399",2,115,1995,3,3,"4","sym","sym",10,1,1,"yes",1
"400",2,115,2000,3,3,"4","sym","sym",15,1,1,"yes",1
"402",2,130,1854,0,1,"1","x","x",0,1,1,"yes",1
"403",2,130,1859,0,2,"1","x","x",5,1,1,"yes",1
"404",2,130,1864,0,2,"1","x","x",10,1,1,"yes",1
"405",2,130,1869,0,2,"1","x","sym",15,1,1,"yes",1
"406",2,130,1874,2,2,"1","sym","x",0,1,1,"yes",1
"407",2,130,1879,0,2,"1","x","x",0,1,1,"yes",1
"409",2,130,1889,2,0,"1","x","x",10,1,1,"yes",1
"410",2,130,1894,0,2,"1","x","sym",15,1,1,"yes",1
"411",2,130,1899,2,2,"1","sym","sym",0,1,1,"yes",1
"412",2,130,1904,2,2,"1","sym","sym",5,1,1,"yes",1
"413",2,130,1909,2,2,"1","sym","sym",10,1,1,"yes",1
"414",2,130,1914,2,2,"1","sym","sym",15,1,1,"yes",1
"415",2,130,1920,2,2,"1","sym","sym",21,1,1,"yes",1
"416",2,130,1925,2,2,"1","sym","sym",26,1,1,"yes",1
"417",2,130,1930,2,2,"1","sym","sym",31,1,1,"yes",1
"418",2,130,1935,2,2,"1","sym","sym",36,1,1,"yes",1
"419",2,130,1940,2,2,"1","sym","sym",41,1,1,"yes",1
"420",2,130,1950,9,9,"2","sym","sym",51,1,1,"yes",1
"421",2,130,1955,9,9,"2","sym","sym",56,1,1,"yes",1
"422",2,130,1960,9,9,"2","sym","sym",61,1,1,"yes",1
"423",2,130,1965,9,9,"2","sym","sym",66,1,1,"yes",1
"424",2,130,1970,3,3,"3","sym","sym",71,1,1,"yes",1
"425",2,130,1975,3,3,"3","sym","sym",76,1,1,"yes",1
"426",2,130,1980,3,3,"3","sym","sym",81,1,1,"yes",1
"427",2,130,1985,3,3,"3","sym","sym",86,1,1,"yes",1
"428",2,130,1990,3,3,"3","sym","sym",91,1,1,"yes",1
"429",2,130,1995,3,3,"4","sym","sym",96,1,1,"yes",1
"430",2,130,2000,3,3,"4","sym","asym",101,1,1,"yes",1
"432",2,135,1840,0,1,"1","x","asym",0,1,1,"yes",1
"434",2,135,1849,2,1,"1","asym","asym",0,1,1,"yes",1
"435",2,135,1854,2,1,"1","asym","sym",5,1,1,"yes",1
"436",2,135,1859,2,2,"1","sym","sym",0,1,1,"yes",1
"437",2,135,1864,2,2,"1","sym","asym",5,1,1,"yes",1
"438",2,135,1869,1,2,"1","asym","sym",0,1,1,"yes",1
"439",2,135,1874,2,2,"1","sym","sym",0,1,1,"yes",1
"440",2,135,1879,2,2,"1","sym","sym",5,1,1,"yes",1
"441",2,135,1884,2,2,"1","sym","x",10,1,1,"yes",1
"442",2,135,1889,0,2,"1","x","sym",0,1,1,"yes",1
"443",2,135,1894,2,2,"1","sym","sym",0,1,1,"yes",1
